molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL240416,COc1ccc(OC)c(CCNC(=S)Nc2ccc(Br)cn2)c1,active,100.0
CHEMBL295585,Fc1ccccc1CC/N=C(\S)Nc1ccc(Br)cn1,active,600.0
CHEMBL66404,CC(C)=CCN1Cc2cccc3nc(O)n(c23)CC1C,intermediate,3320.0
CHEMBL302788,CCOCn1c2c(c(=O)[nH]c1=O)CNc1ccccc1S2,inactive,50200.0
CHEMBL69517,CC(C)=CCN1CCn2c(=O)[nH]c3cccc(c32)C1C,inactive,12100.0
CHEMBL303241,CC(C)=CCN1[C@@H](C)c2cccc3[nH]c(=S)n(c23)C[C@H]1C,intermediate,1150.0
CHEMBL66377,CCCN1Cc2cccc3[nH]c(=O)n(c23)CC1C,inactive,59700.0
CHEMBL98394,CCc1cc(NCc2nc3ccccc3[nH]2)c(O)nc1C,intermediate,7585.78
CHEMBL316785,CCc1cc(NCc2cc3ccccc3o2)c(O)nc1C,active,331.13
CHEMBL290312,CSCSc1cc(Cc2cc(C)cc(C)c2)c(C(C)C)c(O)n1,intermediate,7000.0
CHEMBL58711,CC(C)=CCN1Cc2c(Cl)ccc3[nH]c(=S)n(c23)C[C@@H]1C,active,5.0
CHEMBL68530,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)C(=O)Nc1ccccc1S2,inactive,100000.0
CHEMBL125867,CCc1cc(NCc2cc3ccccc3[nH]2)c(O)nc1C,intermediate,4365.16
CHEMBL308222,C=C(C)CN1Cc2cc(Cl)cc3[nH]c(=S)n(c23)C(C)C1,active,670.0
CHEMBL65881,CC(C)=CCN1CCn2c(=S)[nH]c3cccc(c32)C1C,active,78.0
CHEMBL67095,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)CN(C)c1ccccc1S2,inactive,14700.0
CHEMBL65800,CCCN1CCn2c(=S)[nH]c3cccc(c32)C1C,intermediate,2430.0
CHEMBL339138,CCc1cc(NCc2ccccn2)c(O)nc1C,inactive,15135.61
CHEMBL420740,CC(C)=CCN1CCn2c(=O)[nH]c3ccc(Cl)c(c32)C1C,active,145.0
CHEMBL66350,C=C(C)CN1Cc2cccc3nc(S)n(c23)CC1C,active,26.0
CHEMBL39999,S=C(NCCc1ccccn1)Nc1ccc(Br)cn1,active,800.0
CHEMBL69674,CC(C)=CCN1CCn2c(=S)[nH]c3cc(Cl)cc(c32)C1,active,160.0
CHEMBL66704,CC1CN(CC2CC2)Cc2cc(Cl)cc3[nH]c(=S)n1c23,intermediate,2180.0
CHEMBL304317,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(CCC)C1,inactive,48100.0
CHEMBL65801,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)CC1C,inactive,34700.0
CHEMBL304294,CC(C)=CCN1CCn2c(=S)[nH]c3cc(Cl)cc(c32)C1C,active,23.0
CHEMBL123639,CCc1cc(NCc2ccc3ccccc3n2)c(O)nc1C,active,524.81
CHEMBL66758,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)C(c1ccccc1)Nc1ccccc1S2,inactive,100000.0
CHEMBL314567,CN1N=C(N)c2cn(C3C[C@@H](O)[C@@H](CO)O3)c3ncnc1c23,inactive,100000.0
CHEMBL462018,CN1N=C(N)c2cn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ncnc1c23,active,40.0
CHEMBL2367598,CN1N=C(N)c2cn([C@H]3C=C[C@@H](CO)O3)c3ncnc1c23,inactive,100000.0
CHEMBL2112098,CN1N=C(N)c2cn([C@H]3CC[C@@H](CO)O3)c3ncnc1c23,inactive,21000.0
CHEMBL1790617,CN1N=C(N)c2cn([C@@H]3O[C@H](CO)C[C@H]3O)c3ncnc1c23,inactive,100000.0
CHEMBL331237,CN1N=C(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23,active,40.0
CHEMBL315509,CN1N=C(N)c2cn(C3O[C@H](CO)[C@H]4O[C@H]34)c3ncnc1c23,inactive,100000.0
CHEMBL609194,C[C@H]1OC(n2cc3c4c(ncnc42)N(C)N=C3N)[C@H](O)[C@@H]1O,inactive,100000.0
CHEMBL104349,Oc1ncccc1C(C#CC1CC1)(OCc1ccccn1)C(F)(F)F,active,26.0
CHEMBL177191,CCc1cnc(O)c(CCc2nc3ccccc3o2)c1,active,177.0
CHEMBL86178,CCc1cc(NCc2c(C)cccc2OC)c(O)nc1C,intermediate,1300.0
CHEMBL86109,CCc1cc(NCc2cc(CC)c(C)nc2OC)c(O)nc1C,active,19.0
CHEMBL290204,Cc1nnc2n1-c1cccnc1N(C1CC1)c1ncccc1-2,inactive,11500.0
CHEMBL320379,Oc1ncccc1C(/C=C/C1CC1)(OCc1ccccc1)C(F)(F)F,active,16.68
CHEMBL413751,CCc1cc(C(C#CC2CC2)(OCc2c(F)cccc2F)C(F)(F)F)c(O)nc1C,active,613.0
CHEMBL367204,Cc1nc(O)c(CCc2nc3ccccc3o2)cc1CO,intermediate,3400.0
CHEMBL431931,CCN1c2ncccc2-c2nccn2-c2ccc(N3CC=CCC3)nc21,intermediate,3900.0
CHEMBL175235,CCc1cc(CCc2ccc3ccccc3c2)c(O)nc1C,intermediate,8400.0
CHEMBL174419,CCc1cc(CCc2nc3c(Cl)cccc3o2)c(S)nc1C,active,30.0
CHEMBL85945,CCc1cc(NCc2cccc(OC)c2)c(O)nc1C,intermediate,1250.0
CHEMBL84821,CCc1cc(NCc2cccc(C)c2OC)c(O)nc1C,intermediate,3800.0
CHEMBL84621,CCc1cc(NCc2cc(C)c(C)nc2OC)c(O)nc1C,active,9.0
CHEMBL42906,CCN1c2ncccc2-c2ncc(C)n2-c2ccc(OC)nc21,active,190.0
CHEMBL105826,CCc1cc(C(C#CC2CC2)(OCc2ccc(Cl)cc2Cl)C(F)(F)F)c(O)nc1C,intermediate,2696.0
CHEMBL175531,CCc1cc(CCc2nc3cc(F)ccc3o2)c(O)nc1C,intermediate,1700.0
CHEMBL268871,CCc1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,active,20.0
CHEMBL46961,CC(C)=CCN1Cc2cccc3[nH]c(=S)n(c23)C[C@@H]1C,active,70.0
CHEMBL106694,Oc1ncccc1C(C#CC1CC1)(Oc1cccc(Oc2ccccc2)c1)C(F)(F)F,active,24.34
CHEMBL177898,CCc1cc(CCc2nc3ccc(F)cc3o2)c(O)nc1C,active,442.0
CHEMBL172583,CCc1cc(CCc2nc3cccc(F)c3o2)c(S)nc1C,active,43.0
CHEMBL174953,Cc1nc(O)c(CCc2nc3ccccc3o2)cc1C#N,active,310.0
CHEMBL177174,COCc1cc(CCc2nc3ccccc3o2)c(O)nc1C,intermediate,2100.0
CHEMBL107693,CCCCOC(C#CC1CC1)(c1cc(CC)c(C)nc1O)C(F)(F)F,active,129.0
CHEMBL84933,CCc1cc(NCc2cc3ccccc3nc2OC)c(O)nc1C,active,34.0
CHEMBL43308,Cc1ccnc2c1-n1ccnc1-c1cccnc1N2C1CC1,intermediate,2050.0
CHEMBL426396,Cc1cc(CCc2nc3ccccc3o2)c(O)nc1C,active,170.0
CHEMBL83301,CCc1cc(NCc2ccccc2C(F)(F)F)c(O)nc1C,inactive,12500.0
CHEMBL83622,CCc1cc(CCc2nc3ccccc3o2)c(O)nc1C,active,20.0
CHEMBL325343,CCc1cc(C(C#CC2CC2)(OCc2c(Cl)cccc2Cl)C(F)(F)F)c(O)nc1C,active,41.1
CHEMBL172311,CCc1cc(CCc2nc3c(Cl)ccc(Cl)c3o2)c(S)nc1C,active,30.0
CHEMBL176957,CCCc1cc(CCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,active,34.0
CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,active,73.0
CHEMBL321174,CCOC(C#CC1CC1)(c1cc(CC)c(C)nc1O)C(F)(F)F,active,183.0
CHEMBL173635,CCc1cc(CCc2ncc(-c3ccccc3)o2)c(O)nc1C,active,385.0
CHEMBL177271,CCc1cc(CCc2nc3c(F)ccc(F)c3o2)c(O)nc1C,active,14.0
CHEMBL83641,CCc1cc(CCc2cc(CC)c(C)nc2O)c(O)nc1C,active,400.0
CHEMBL37628,CCN1c2ncccc2C(=O)Nc2c(C)ccnc21,inactive,10300.0
CHEMBL57772,Fc1cccc(F)c1Cn1c(-c2ccccc2)nc2ccccc21,inactive,16000.0
CHEMBL98159,CCc1cc(CCc2cc3ccccc3o2)c(O)nc1C,active,130.0
CHEMBL172773,CCc1cc(CCC(=O)Nc2ccccc2O)c(O)nc1C,intermediate,5400.0
CHEMBL314061,CCc1cc(NCc2ccccc2OC)c(O)nc1C,active,265.0
CHEMBL288062,CCN1c2ncccc2-c2ncc(C)n2-c2ccc(N(C)C)nc21,intermediate,2400.0
CHEMBL295930,CCN1c2ncccc2-c2ncc(C)n2-c2c(C)cc(O)nc21,inactive,12200.0
CHEMBL353328,CCc1cc(CCc2ccccc2)c(O)nc1C,inactive,50000.0
CHEMBL297982,CCN1c2ncccc2-c2nccn2-c2c(C)ccnc21,intermediate,1620.0
CHEMBL43283,CCN1c2ncccc2-c2ncc(C)n2-c2ccc(N3CC=CCC3)nc21,intermediate,2700.0
CHEMBL132691,Fc1cccc(F)c1-c1nc2ccccc2n1Cc1ccccc1,inactive,18600.0
CHEMBL105400,CCc1cc(C(C#CC2CC2)(OCC2CC2)C(F)(F)F)c(O)nc1C,active,188.0
CHEMBL176972,CCc1cc(CCc2nc3c(Cl)cccc3o2)c(O)nc1C,active,62.0
CHEMBL367052,CCc1cc(CCc2nc3cccc(F)c3o2)c(O)nc1C,active,37.0
CHEMBL176637,CCc1cc(S(=O)(=O)Cc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,active,205.0
CHEMBL313695,CCc1cc(NCc2ccccc2[N+](=O)[O-])c(O)nc1C,active,530.0
CHEMBL86261,CCc1cc(NCc2ccccc2F)c(O)nc1C,intermediate,1400.0
CHEMBL313450,CCc1cc(NCc2nc3c(cc2OC)CCC3)c(O)nc1C,active,40.0
CHEMBL313404,CCc1cc(NCc2nc3c(cc2OC)CCCC3)c(O)nc1C,active,47.0
CHEMBL44392,CCc1nc2n(c1C)-c1cccnc1N(CC)c1ncccc1-2,intermediate,5630.0
CHEMBL293961,Cc1cccc2c1nc(-c1c(F)cccc1F)n2Cc1c(F)cccc1F,inactive,200000.0
CHEMBL105863,Oc1nc2ccccc2cc1C(C#CC1CC1)(OCc1ccccc1)C(F)(F)F,active,36.01
CHEMBL171920,CCc1cc(CCc2nc3cccc(Cl)c3o2)c(O)nc1C,active,39.0
CHEMBL106783,Oc1ncccc1C(C#Cc1ccccc1)(OCc1ccccc1)C(F)(F)F,active,11.69
CHEMBL85533,CCc1cc(NCc2cccnc2OC)c(O)nc1C,active,680.0
CHEMBL106646,CCc1cc(C(C#CC2CC2)(OC)C(F)(F)F)c(O)nc1C,active,770.0
CHEMBL95426,CCc1cc(CCc2nc3ccccc3s2)c(O)nc1C,active,370.0
CHEMBL87676,CCc1cc(NCc2ccc(C)cc2OC)c(O)nc1C,active,32.0
CHEMBL295978,CCN1c2ncccc2-c2nccn2-c2ccc(OC)nc21,active,600.0
CHEMBL177256,CCc1cc(CCc2nc3ccc(C)cc3o2)c(O)nc1C,active,172.0
CHEMBL172861,CCc1cc(CCc2nc3ccccc3o2)c(S)nc1C,active,24.0
CHEMBL43324,CCN1c2ncccc2-c2nccn2-c2ccc(N(C)C)nc21,intermediate,3900.0
CHEMBL223228,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,active,47.0
CHEMBL99235,CCc1cc(CCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,active,14.0
CHEMBL174130,CCc1cc(CCc2nc3cccc(Cl)c3o2)c(S)nc1C,active,29.0
