,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
8472,CHEMBL4450262,CC1(C)OC(=O)Nc2cccc(Oc3cc(Cl)cc(C#N)c3)c21,active,328.75500000000005,4.801180000000002,1.0,4.0,8.154901959985743
8474,CHEMBL4450262,CC1(C)OC(=O)Nc2cccc(Oc3cc(Cl)cc(C#N)c3)c21,active,328.75500000000005,4.801180000000002,1.0,4.0,6.048662481204082
8475,CHEMBL4535359,CC(C)Oc1ccc2cccnc2c1-c1cccc2ccccc12,inactive,313.40000000000003,5.8422000000000045,0.0,2.0,4.0
8476,CHEMBL4465677,CC(C)Oc1ccc2cccnc2c1-c1cccc2cccnc12,inactive,314.38800000000003,5.237200000000004,0.0,3.0,4.0
8477,CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,active,366.4280000000001,4.989100000000003,2.0,6.0,9.0
8478,CHEMBL4535359,CC(C)Oc1ccc2cccnc2c1-c1cccc2ccccc12,inactive,313.40000000000003,5.8422000000000045,0.0,2.0,4.329754146925876
8479,CHEMBL4465677,CC(C)Oc1ccc2cccnc2c1-c1cccc2cccnc12,inactive,314.38800000000003,5.237200000000004,0.0,3.0,4.0
8480,CHEMBL1493884,NC(=O)c1c(N)sc2c1CCCCC2,inactive,210.30199999999994,1.6981000000000002,2.0,3.0,4.55129368009492
8481,CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,inactive,366.4280000000001,4.989100000000003,2.0,6.0,5.0
8482,CHEMBL4476506,Cc1cc(-c2ccc(C#N)cc2)ccc1Oc1ccnc(Nc2ccc(C#N)cc2)n1,active,403.4450000000001,5.7312800000000035,1.0,6.0,8.259637310505756
8483,CHEMBL4447319,COc1cc(-c2ccc(C#N)cc2)ccc1Oc1ccnc(Nc2ccc(C#N)cc2)n1,active,419.44400000000013,5.431460000000004,1.0,7.0,8.031517051446064
8484,CHEMBL4529454,N#Cc1ccc(Nc2nccc(Oc3ccc(-c4ccc(C#N)cc4)cc3F)n2)cc1,active,407.4080000000001,5.561960000000004,1.0,6.0,8.431798275933005
8485,CHEMBL4462221,N#Cc1ccc(Nc2nccc(Oc3ccc(-c4ccc(C#N)cc4)cc3Cl)n2)cc1,active,423.8630000000001,6.076260000000004,1.0,6.0,8.080921907623926
8486,CHEMBL4441844,Cc1cc(-c2ccc(C#N)cc2)ccc1Nc1ccnc(Nc2ccc(C#N)cc2)n1,active,402.4610000000001,5.682580000000003,2.0,6.0,8.207608310501746
8487,CHEMBL4437134,COc1cc(-c2ccc(C#N)cc2)ccc1Nc1ccnc(Nc2ccc(C#N)cc2)n1,active,418.46000000000015,5.382760000000003,2.0,7.0,8.221848749616356
8488,CHEMBL4526111,Cc1cc(-c2ccc(C#N)cc2)cc(Cl)c1Oc1ccnc(Nc2ccc(C#N)cc2)n1,active,437.8900000000001,6.384680000000003,1.0,6.0,7.966576244513051
8489,CHEMBL4468717,Cc1cc(-c2ccc(C#N)cc2)c(Cl)cc1Oc1ccnc(Nc2ccc(C#N)cc2)n1,active,437.8900000000001,6.384680000000003,1.0,6.0,7.72584215073632
8490,CHEMBL4463385,N#Cc1ccc(Nc2nccc(Oc3c(F)cc(-c4ccc(C#N)cc4)cc3F)n2)cc1,active,425.3980000000001,5.7010600000000045,1.0,6.0,7.87942606879415
8491,CHEMBL4435752,Cc1cc(-c2ccc(C#N)cc2F)ccc1Oc1ccnc(Nc2ccc(C#N)cc2)n1,active,421.43500000000006,5.8703800000000035,1.0,6.0,8.060480747381382
8492,CHEMBL4551930,N#Cc1ccc(Nc2nccc(Nc3c(F)cc(-c4ccc(C#N)cc4)cc3F)n2)cc1,active,424.4140000000001,5.652360000000003,2.0,6.0,8.327902142064282
8493,CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,active,266.30400000000003,2.6512200000000004,1.0,4.0,6.393618634889395
8494,CHEMBL223228,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,active,315.67799999999994,4.073100000000001,1.0,2.0,7.522878745280337
8495,CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,active,435.2850000000001,4.717400000000002,2.0,7.0,7.958607314841775
8496,CHEMBL4526732,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2sccc12,active,574.7320000000003,5.361120000000004,2.0,9.0,6.943095148663527
8497,CHEMBL4094163,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,574.7320000000003,5.361120000000005,2.0,9.0,6.995678626217358
8498,CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,active,435.2850000000001,4.717400000000002,2.0,7.0,7.920818753952375
8499,CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,active,366.4280000000001,4.989100000000003,2.0,6.0,7.823908740944319
8500,CHEMBL3929927,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,548.6940000000002,4.696020000000004,2.0,9.0,7.119186407719209
8501,CHEMBL4526732,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2sccc12,active,574.7320000000003,5.361120000000004,2.0,9.0,6.642065152999546
8502,CHEMBL4094163,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,574.7320000000003,5.361120000000005,2.0,9.0,7.00436480540245
8503,CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,active,435.2850000000001,4.717400000000002,2.0,7.0,7.886056647693163
8504,CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,active,366.4280000000001,4.989100000000003,2.0,6.0,7.619788758288394
8505,CHEMBL3929927,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,548.6940000000002,4.696020000000004,2.0,9.0,7.036212172654444
8506,CHEMBL4526732,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2sccc12,active,574.7320000000003,5.361120000000004,2.0,9.0,6.653647025549361
8507,CHEMBL4094163,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,574.7320000000003,5.361120000000005,2.0,9.0,6.718966632752273
8508,CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,active,435.2850000000001,4.717400000000002,2.0,7.0,7.6020599913279625
8509,CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,active,366.4280000000001,4.989100000000003,2.0,6.0,7.568636235841013
8510,CHEMBL3929927,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,548.6940000000002,4.696020000000004,2.0,9.0,6.790484985457369
8511,CHEMBL4526732,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2sccc12,active,574.7320000000003,5.361120000000004,2.0,9.0,6.85078088734462
8512,CHEMBL4094163,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,574.7320000000003,5.361120000000005,2.0,9.0,6.826813731587726
8513,CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,active,435.2850000000001,4.717400000000002,2.0,7.0,7.769551078621726
8514,CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,active,366.4280000000001,4.989100000000003,2.0,6.0,7.6777807052660805
8515,CHEMBL3929927,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,548.6940000000002,4.696020000000004,2.0,9.0,6.899629454882437
8516,CHEMBL4526732,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2sccc12,active,574.7320000000003,5.361120000000004,2.0,9.0,6.3448615651886175
8517,CHEMBL4094163,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,574.7320000000003,5.361120000000005,2.0,9.0,6.521433504406157
8518,CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,active,435.2850000000001,4.717400000000002,2.0,7.0,7.337242168318426
8519,CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,active,366.4280000000001,4.989100000000003,2.0,6.0,7.075720713938118
8520,CHEMBL3929927,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,548.6940000000002,4.696020000000004,2.0,9.0,6.667561540084395
8521,CHEMBL4526732,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2sccc12,active,574.7320000000003,5.361120000000004,2.0,9.0,6.42712839779952
8522,CHEMBL4094163,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,574.7320000000003,5.361120000000005,2.0,9.0,6.455931955649724
8523,CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,active,435.2850000000001,4.717400000000002,2.0,7.0,7.494850021680094
8524,CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,active,366.4280000000001,4.989100000000003,2.0,6.0,7.3872161432802645
8525,CHEMBL3929927,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,548.6940000000002,4.696020000000004,2.0,9.0,6.698970004336019
8526,CHEMBL4526732,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2sccc12,active,574.7320000000003,5.361120000000004,2.0,9.0,6.886056647693163
8527,CHEMBL4094163,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,574.7320000000003,5.361120000000005,2.0,9.0,6.97469413473523
8528,CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,active,435.2850000000001,4.717400000000002,2.0,7.0,8.096910013008056
8529,CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,active,366.4280000000001,4.989100000000003,2.0,6.0,7.823908740944319
8530,CHEMBL3929927,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,548.6940000000002,4.696020000000004,2.0,9.0,6.653647025549361
8531,CHEMBL4526732,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2sccc12,active,574.7320000000003,5.361120000000004,2.0,9.0,6.920818753952375
8532,CHEMBL4094163,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,574.7320000000003,5.361120000000005,2.0,9.0,6.97061622231479
8533,CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,active,435.2850000000001,4.717400000000002,2.0,7.0,7.721246399047171
8534,CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,active,366.4280000000001,4.989100000000003,2.0,6.0,7.638272163982407
8535,CHEMBL3929927,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,active,548.6940000000002,4.696020000000004,2.0,9.0,7.1487416512809245
8537,CHEMBL4446893,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)N[C@H]3CCN(S(C)(=O)=O)C3)[nH]c3ccc(Cl)cc23)c1,active,510.0370000000002,3.0346400000000013,2.0,5.0,6.214670164989233
8538,CHEMBL85059,Cc1cc(C)cc(S(=O)(=O)c2c(C(N)=O)[nH]c3ccc(Cl)cc23)c1,active,362.838,3.369840000000001,2.0,3.0,6.251811972993799
8539,CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,active,266.30400000000003,2.6512200000000004,1.0,4.0,6.229147988357855
8540,CHEMBL223228,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,active,315.67799999999994,4.073100000000001,1.0,2.0,7.853871964321762
8541,CHEMBL4459084,Cc1ccc2oc(=O)c3c(O)cc(=O)oc3c2c1,inactive,244.202,1.91342,1.0,5.0,4.782516055786093
8542,CHEMBL4440430,Cc1ccc2c(c1)oc(=O)c1c(O)cc(=O)oc12,inactive,244.20199999999997,1.9134199999999997,1.0,5.0,4.0
8543,CHEMBL4457846,Cc1cccc2c1oc(=O)c1c(O)cc(=O)oc12,inactive,244.20199999999997,1.9134199999999997,1.0,5.0,4.525783735923745
8544,CHEMBL4581840,O=c1cc(O)c2c(=O)oc3ccc4ccccc4c3c2o1,inactive,280.235,2.7582000000000013,1.0,5.0,4.212539525481585
8545,CHEMBL4436493,O=c1cc(O)c2c(=O)oc3c4ccccc4ccc3c2o1,inactive,280.235,2.7582000000000013,1.0,5.0,4.607303046740334
8546,CHEMBL4546001,CC(=O)c1c(O)c2c(=O)oc3ccccc3c2oc1=O,inactive,272.212,1.8076,1.0,6.0,4.579879151914297
8548,CHEMBL4569505,CC(=O)c1c(O)c2c(=O)oc3cc(C)ccc3c2oc1=O,inactive,286.23900000000003,2.11602,1.0,6.0,4.0
8549,CHEMBL4570404,CC(=O)c1c(O)c2c(=O)oc3c(C)cccc3c2oc1=O,inactive,286.23900000000003,2.11602,1.0,6.0,4.5934598195660445
8550,CHEMBL4567188,CC(=O)CC(=O)c1c(O)c2c(=O)oc3ccccc3c2oc1=O,inactive,314.2490000000001,1.7668,1.0,7.0,4.066512712151295
8551,CHEMBL4453513,CC(=O)CC(=O)c1c(O)c2c(=O)oc3ccc4ccccc4c3c2oc1=O,inactive,364.30900000000014,2.9200000000000017,1.0,7.0,4.860120913598763
8552,CHEMBL4461018,CC(=O)CC(=O)c1c(O)c2c(=O)oc3c4ccccc4ccc3c2oc1=O,inactive,364.30900000000014,2.9200000000000017,1.0,7.0,4.29073003902417
8553,CHEMBL4450126,Cc1cc(=O)c2c(=O)oc3c4ccccc4oc(=O)c3c2o1,inactive,296.2340000000001,2.3142200000000006,0.0,6.0,4.774690718274137
8554,CHEMBL4465730,O=C(c1ccccc1)c1ccc2c(c1)N=CCC(c1c(O)c3c(=O)oc4ccccc4c3oc1=O)=N2,inactive,476.44400000000024,5.062800000000005,1.0,8.0,4.4156687756324695
8555,CHEMBL4467593,Cc1ccc2oc(=O)c3cc(C4=Nc5ccc(C(=O)c6ccccc6)cc5N=CC4)c(=O)oc3c2c1,inactive,474.47200000000026,5.665620000000004,0.0,7.0,4.367542707815276
8556,CHEMBL4586578,Cc1cc(-c2c(O)c3c(=O)oc4ccccc4c3oc2=O)nn1-c1ccccc1,inactive,386.36300000000006,3.7661200000000017,1.0,7.0,4.285670240254767
8557,CHEMBL45578,CCOC(=O)C(=O)CC(=O)/C=C/c1cccn1Cc1ccc(F)cc1,inactive,343.35400000000004,2.780100000000001,0.0,5.0,4.950781977329818
8558,CHEMBL1652111,COP(=O)(c1cc(C)cc(/C=C/C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)cc12,inactive,413.8010000000001,3.6407000000000016,2.0,4.0,4.958607314841775
8560,CHEMBL4474372,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2c1SCC2,active,550.7100000000002,4.129520000000003,2.0,9.0,7.130768280269024
8561,CHEMBL4594064,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(C(N)=O)cc3)CC2)nc2c1SCC2,active,514.6550000000003,4.581020000000004,2.0,8.0,7.180456064458132
8562,CHEMBL4553083,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)nc2c1SCC2,active,549.7220000000001,4.885620000000005,1.0,9.0,6.886056647693163
8563,CHEMBL4570889,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccncc3)CC2)nc2c1SCC2,active,472.6180000000003,4.877120000000004,1.0,8.0,6.950781977329818
8564,CHEMBL4526807,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc([N+](=O)[O-])cc3)CC2)nc2c1SCC2,active,516.6270000000003,5.390320000000005,1.0,9.0,6.756961951313706
8565,CHEMBL4533242,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(C(N)=O)c3)CC2)nc2c1SCC2,active,514.6550000000003,4.581020000000003,2.0,8.0,7.026872146400302
8566,CHEMBL4584556,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2c1CSC2,active,550.7100000000003,4.228120000000003,2.0,9.0,6.3872161432802645
8567,CHEMBL4570178,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)nc2c1CSC2,active,549.7220000000002,4.984220000000005,1.0,9.0,7.040958607678906
8568,CHEMBL4546225,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc([N+](=O)[O-])cc3)CC2)nc2c1CSC2,active,516.6270000000003,5.488920000000006,1.0,9.0,6.889410289700751
8569,CHEMBL4469840,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(N)cc3)CC2)nc2c1CSC2,active,486.6450000000003,5.162920000000004,2.0,8.0,6.939302159646388
8570,CHEMBL4445956,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(NS(C)(=O)=O)cc3)CC2)nc2c1CSC2,active,564.7370000000002,4.952220000000005,2.0,9.0,6.853871964321762
8571,CHEMBL4437991,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2c1COC2,active,534.6420000000003,3.5115200000000026,2.0,9.0,6.962573502059376
8572,CHEMBL4514678,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(C(N)=O)cc3)CC2)nc2c1COC2,active,498.5870000000004,3.963020000000003,2.0,8.0,7.292429823902063
8573,CHEMBL4557661,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)nc2c1COC2,active,533.6540000000002,4.267620000000004,1.0,9.0,7.113509274827518
8574,CHEMBL4570398,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccncc3)CC2)nc2c1COC2,active,456.5500000000003,4.259120000000004,1.0,8.0,7.251811972993799
8575,CHEMBL4586013,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc([N+](=O)[O-])cc3)CC2)nc2c1COC2,active,500.55900000000037,4.772320000000004,1.0,9.0,7.036212172654444
8576,CHEMBL4563214,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(C(N)=O)c3)CC2)nc2c1COC2,active,498.5870000000004,3.963020000000002,2.0,8.0,7.040958607678906
8577,CHEMBL4561250,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2c1CCC2,active,532.6700000000002,3.9700200000000025,2.0,8.0,7.040958607678906
8578,CHEMBL4464437,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(C(N)=O)cc3)CC2)nc2c1CCC2,active,496.6150000000004,4.421520000000004,2.0,7.0,7.136677139879544
8579,CHEMBL4464124,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)nc2c1CCC2,active,531.6820000000002,4.726120000000005,1.0,8.0,6.804100347590766
